#,seed,score,hitRate,alg11,pal,scale,melodic
1,"n66n273a",0.417,"8%","1/12",0,"n/a","—"
2,"xaykdvpt",0.417,"8%","1/12",0,"n/a","—"
3,"3r343po1",0.417,"8%","1/12",0,"n/a","—"
4,"1gj670pw",0.417,"8%","1/12",0,"n/a","—"
5,"xxbitw84",0.417,"8%","1/12",0,"n/a","—"
6,"7x8ziivl",0.417,"8%","1/12",0,"n/a","—"
7,"wkjbkwak",0.417,"8%","1/12",0,"n/a","—"
8,"t2z8wfmy",0.417,"8%","1/12",0,"n/a","—"
9,"69pekwaj",0.417,"8%","1/12",0,"n/a","—"
10,"pftpkvmr",0.417,"8%","1/12",0,"n/a","—"
11,"z4zv4tbu",0.417,"8%","1/12",0,"n/a","—"
12,"gv39qn7y",0.417,"8%","1/12",0,"n/a","—"
13,"xo3lving",0.417,"8%","1/12",0,"n/a","—"
14,"yrrbgzko",0.417,"8%","1/12",0,"n/a","—"
15,"llkr1f24",0.417,"8%","1/12",0,"n/a","—"
16,"z64qgd4t",0.417,"8%","1/12",0,"n/a","—"
17,"z58lufff",0.417,"8%","1/12",0,"n/a","—"
18,"pbcvczky",0.417,"8%","1/12",0,"n/a","—"
19,"3frh6cit",0.417,"8%","1/12",0,"n/a","—"
20,"1tvj6e9d",0.417,"8%","1/12",0,"n/a","—"
21,"mcfef3cv",0.417,"8%","1/12",0,"n/a","—"
22,"juc2mujx",0.417,"8%","1/12",0,"n/a","—"
23,"u944pnf4",0.417,"8%","1/12",0,"n/a","—"
24,"chf2iuqj",0.417,"8%","1/12",0,"n/a","—"
25,"ghm3kzke",0.417,"8%","1/12",0,"n/a","—"
26,"zxixmcoh",0.417,"8%","1/12",0,"n/a","—"
27,"ctdo4hqy",0.417,"8%","1/12",0,"n/a","—"
28,"4qt0ii6e",0.417,"8%","1/12",0,"n/a","—"
29,"bcexmuba",0.417,"8%","1/12",0,"n/a","—"
30,"455wbjo0",0.417,"8%","1/12",0,"n/a","—"
31,"r3mk3g5u",0.417,"8%","1/12",0,"n/a","—"
32,"cqsdsfr0",0.417,"8%","1/12",0,"n/a","—"
33,"5b1zr8sr",0.417,"8%","1/12",0,"n/a","—"
34,"tbhv90vm",0.417,"8%","1/12",0,"n/a","—"
35,"6w37rccr",0.417,"8%","1/12",0,"n/a","—"
36,"piciigw6",0.417,"8%","1/12",0,"n/a","—"
37,"yvv4k8zd",0.417,"8%","1/12",0,"n/a","—"
38,"xnq1zjhf",0.417,"8%","1/12",0,"n/a","—"
39,"7zj8yd10",0.417,"8%","1/12",0,"n/a","—"
40,"roe4me8o",0.417,"8%","1/12",0,"n/a","—"
41,"fpbzq3uf",0.417,"8%","1/12",0,"n/a","—"
42,"vrxm1w2c",0.417,"8%","1/12",0,"n/a","—"
43,"rx28eull",0.417,"8%","1/12",0,"n/a","—"
44,"tck9q7x1",0.417,"8%","1/12",0,"n/a","—"
45,"kpurv5cn",0.417,"8%","1/12",0,"n/a","—"
46,"b52w5ahq",0.417,"8%","1/12",0,"n/a","—"
47,"a5ytd7uu",0.417,"8%","1/12",0,"n/a","—"
48,"44rr7d37",0.417,"8%","1/12",0,"n/a","—"
49,"3ylfv2lk",0.417,"8%","1/12",0,"n/a","—"
50,"m9khe15c",0.417,"8%","1/12",0,"n/a","—"
51,"ntnmdzyk",0.417,"8%","1/12",0,"n/a","—"
52,"b1ypx2su",0.417,"8%","1/12",0,"n/a","—"
53,"yuwbyftq",0.417,"8%","1/12",0,"n/a","—"
54,"f1aawnxv",0.417,"8%","1/12",0,"n/a","—"
55,"eo2k3din",0.417,"8%","1/12",0,"n/a","—"
56,"aimg3ysm",0.417,"8%","1/12",0,"n/a","—"
57,"ykz7x6ms",0.417,"8%","1/12",0,"n/a","—"
58,"p8sfo311",0.417,"8%","1/12",0,"n/a","—"
59,"8tlsy3r3",0.417,"8%","1/12",0,"n/a","—"
60,"lkvijbfj",0.417,"8%","1/12",0,"n/a","—"
61,"5z8z1k6i",0.417,"8%","1/12",0,"n/a","—"
62,"qph28aj3",0.417,"8%","1/12",0,"n/a","—"
63,"hut2ys42",0.417,"8%","1/12",0,"n/a","—"
64,"xz621f9q",0.417,"8%","1/12",0,"n/a","—"
65,"icgcmc1l",0.417,"8%","1/12",0,"n/a","—"
66,"n0ypkkml",0.417,"8%","1/12",0,"n/a","—"
67,"adt3910h",0.417,"8%","1/12",0,"n/a","—"
68,"ycdqx791",0.417,"8%","1/12",0,"n/a","—"
69,"7gkcykhn",0.417,"8%","1/12",0,"n/a","—"
70,"jcrfttpe",0.417,"8%","1/12",0,"n/a","—"
71,"xpinf0ue",0.417,"8%","1/12",0,"n/a","—"
72,"gqyw1us4",0.417,"8%","1/12",0,"n/a","—"
73,"wtruma9p",0.417,"8%","1/12",0,"n/a","—"
74,"0cwhsx7x",0.417,"8%","1/12",0,"n/a","—"
75,"1zll9i81",0.417,"8%","1/12",0,"n/a","—"
76,"lb5xv8i8",0.417,"8%","1/12",0,"n/a","—"
77,"1wkq2rzp",0.417,"8%","1/12",0,"n/a","—"
78,"hqgr1xru",0.417,"8%","1/12",0,"n/a","—"
79,"ckosrvjq",0.417,"8%","1/12",0,"n/a","—"
80,"dab43s5f",0.417,"8%","1/12",0,"n/a","—"
81,"yxa12pc9",0.417,"8%","1/12",0,"n/a","—"
82,"z56cuhwj",0.417,"8%","1/12",0,"n/a","—"
83,"xgj2wo3j",0.417,"8%","1/12",0,"n/a","—"
84,"2x065dkz",0.417,"8%","1/12",0,"n/a","—"
85,"k7xbzzde",0.417,"8%","1/12",0,"n/a","—"
86,"5ji7ps87",0.417,"8%","1/12",0,"n/a","—"
87,"elquamte",0.417,"8%","1/12",0,"n/a","—"
88,"wc8t08ed",0.417,"8%","1/12",0,"n/a","—"
89,"0xeo4oyg",0.417,"8%","1/12",0,"n/a","—"
90,"5iqwsizo",0.417,"8%","1/12",0,"n/a","—"
91,"wmurp8p7",0.417,"8%","1/12",0,"n/a","—"
92,"bup40jhb",0.417,"8%","1/12",0,"n/a","—"
93,"8pfzkkab",0.417,"8%","1/12",0,"n/a","—"
94,"vf0hbxlf",0.417,"8%","1/12",0,"n/a","—"
95,"m9u072z8",0.417,"8%","1/12",0,"n/a","—"
96,"l10j2cau",0.417,"8%","1/12",0,"n/a","—"
97,"s65vo4dd",0.417,"8%","1/12",0,"n/a","—"
98,"cpb1m130",0.417,"8%","1/12",0,"n/a","—"
99,"jk4xa61n",0.417,"8%","1/12",0,"n/a","—"
100,"5itdgmag",0.417,"8%","1/12",0,"n/a","—"
101,"y8xirlqs",0.417,"8%","1/12",0,"n/a","—"
102,"c8alf8eg",0.417,"8%","1/12",0,"n/a","—"
103,"ou535i3f",0.417,"8%","1/12",0,"n/a","—"
104,"pwdmk92q",0.417,"8%","1/12",0,"n/a","—"
105,"u89xac30",0.417,"8%","1/12",0,"n/a","—"
106,"ivt09elt",0.417,"8%","1/12",0,"n/a","—"
107,"16ocmhvo",0.417,"8%","1/12",0,"n/a","—"
108,"ixxukblj",0.417,"8%","1/12",0,"n/a","—"
109,"x61p5ycr",0.417,"8%","1/12",0,"n/a","—"
110,"280tr8h7",0.417,"8%","1/12",0,"n/a","—"
111,"0qruj93o",0.417,"8%","1/12",0,"n/a","—"
112,"7jjo7n2e",0.417,"8%","1/12",0,"n/a","—"
113,"f72dzs5v",0.417,"8%","1/12",0,"n/a","—"
114,"uh1rgccf",0.417,"8%","1/12",0,"n/a","—"
115,"dchlzsua",0.417,"8%","1/12",0,"n/a","—"
116,"v61ztxfm",0.417,"8%","1/12",0,"n/a","—"
117,"w1g1y4gp",0.417,"8%","1/12",0,"n/a","—"
118,"1mc065gf",0.417,"8%","1/12",0,"n/a","—"
119,"19dwkc76",0.417,"8%","1/12",0,"n/a","—"
120,"sjwozizd",0.417,"8%","1/12",0,"n/a","—"
121,"ttf1vld7",0.417,"8%","1/12",0,"n/a","—"
122,"2jt9zt5v",0.417,"8%","1/12",0,"n/a","—"
123,"sbofzq4z",0.417,"8%","1/12",0,"n/a","—"
124,"lx2jo0ir",0.417,"8%","1/12",0,"n/a","—"
125,"3p1aclk9",0.417,"8%","1/12",0,"n/a","—"
126,"x51rr8hk",0.417,"8%","1/12",0,"n/a","—"
127,"hdwxhug9",0.417,"8%","1/12",0,"n/a","—"
128,"22o2mljy",0.417,"8%","1/12",0,"n/a","—"
129,"auj8ui7x",0.417,"8%","1/12",0,"n/a","—"
130,"i17m7x9f",0.417,"8%","1/12",0,"n/a","—"
131,"j4rfcyzc",0.417,"8%","1/12",0,"n/a","—"
132,"r3fao6p2",0.417,"8%","1/12",0,"n/a","—"
133,"3e46av4b",0.417,"8%","1/12",0,"n/a","—"
134,"mri1wn0b",0.417,"8%","1/12",0,"n/a","—"
135,"fp19z5fj",0.417,"8%","1/12",0,"n/a","—"
136,"gkls1brj",0.417,"8%","1/12",0,"n/a","—"
137,"uyhssa0l",0.417,"8%","1/12",0,"n/a","—"
138,"l0lb0dpa",0.417,"8%","1/12",0,"n/a","—"
139,"hsmzn17i",0.417,"8%","1/12",0,"n/a","—"
140,"fyvfjbj1",0.417,"8%","1/12",0,"n/a","—"
141,"bxzlh5id",0.417,"8%","1/12",0,"n/a","—"
142,"as3nvr1a",0.417,"8%","1/12",0,"n/a","—"
143,"yp4xa5b0",0.417,"8%","1/12",0,"n/a","—"
144,"cztwtxjt",0.417,"8%","1/12",0,"n/a","—"
145,"usbpt8b8",0.417,"8%","1/12",0,"n/a","—"
146,"s0fhy59d",0.417,"8%","1/12",0,"n/a","—"
147,"xux96bfn",0.417,"8%","1/12",0,"n/a","—"
148,"0w4b26ly",0.417,"8%","1/12",0,"n/a","—"
149,"ytyso3n9",0.417,"8%","1/12",0,"n/a","—"
150,"xaoqx3qb",0.417,"8%","1/12",0,"n/a","—"
151,"ld977ewg",0.417,"8%","1/12",0,"n/a","—"
152,"s213svim",0.417,"8%","1/12",0,"n/a","—"
153,"wpwpk843",0.417,"8%","1/12",0,"n/a","—"
154,"id6tjamg",0.417,"8%","1/12",0,"n/a","—"
155,"b9pv40y7",0.417,"8%","1/12",0,"n/a","—"
156,"pu2t7wbt",0.417,"8%","1/12",0,"n/a","—"
