Sample,Sync Points
particle-stream-1.webm,0.0–18.775
particle-stream-2.webm,0.0–18.809
particle-stream-3.webm,0.0–18.801
particle-strike-1.webm,0.0–3.014
particle-strike-2.webm,0.0–0.792; 1.199–4.277
particle-strike-3.webm,0.0–0.454; 1.202–3.545; 3.659–4.22
particle-strike-4.webm,0.0–0.55; 1.199–4.284
particle-strike-5.webm,0.0–4.229
particle-strike-6.webm,0.0–0.239
particle-strike-7.webm,0.0–4.291
ai-hum-1.webm,0.0–3.0
broadcast-start-1.webm,0.0–1.5
data-chatter-1.webm,0.0–2.0
digital-ping-1.webm,0.0–0.18
digital-ping-2.webm,0.0–0.205
digital-ping-3.webm,0.0–0.28
particle-ambience.webm,
