Exp,0,,,
X(,0,#9900ff,X(,"RGB(153, 0, 255)"
X),0,#ff00ff,X),"RGB(255, 0, 255)"
X],0,#38761d,X],"RGB(56, 118, 29)"
X{.,0,#0000ff,X{.,"RGB(0, 0, 255)"
X{},0,#ff9900,X{},"RGB(255, 153, 0)"
X*,0,#741b47,X*,"RGB(116, 27, 71)"
X\,0,#ffff00,X\,"RGB(255, 255, 0)"
XB,0,#b4a7d6,XB,"RGB(180, 167, 214)"
Xbtc,0,#d4b351,Xbtc,"RGB(212, 179, 81)"
XD,0,#00ff00,XD,"RGB(0, 255, 0)"
XI,0,#ffd966,XI,"RGB(255, 217, 102)"
XJ,0,#999999,XJ,"RGB(153, 153, 153)"
XO,0,#cb97ff,XO,"RGB(203, 151, 255)"
XP,0,#ea9999,XP,"RGB(234, 153, 153)"
XQ,0,#000000,XQ,"RGB(0, 0, 0)"
Xstx,0,#ff0000,Xstx,"RGB(255, 0, 0)"
XU,0,#7f6000,XU,"RGB(127, 96, 0)"
XV,0,#00ffff,XV,"RGB(0, 255, 255)"
,0,,,
