,id,name,hex1,hex2,effect,sideEffect.
,1,Gregarilous,#ff00ff,#903ef9,This pill gives the user the power to perplex designers with their 3D drawings.,Intense fear of collared greens.
,2,Cannonides,#fc8300,#fc8300,"This pill will make the user see a bright, colourful aura around their coworkers whenever they hear the word ""civilian"".","Incessant conversation about coworkers' hobbies, even when unsolicited."
,3,Nippyson,#54e507,#ff00ff,This pill helps the user resist the temptation of online shopping.,Tendency to join church choirs then never go.
,4,Beigieron,#54e507,#fc8300,This pill will make the user feel cynical at friends’ houses.,Inflamed armpits.
,5,Bleepitinax,#ffedd7,#54e507,This pill will give the user the ability to nurture talents in people that they didn't know they had.,Compulsion to create a synchronized dance routine for a group of complete strangers.
,6,Riskabi,#ffedd7,#ffedd7,This pill will give the user the ability to always win battles of psychological warfare providing they have a lit cigar in their pocket.,"Constantly carrying a lit cigar, resulting in fire hazards and respiratory issues."
,7,Solariaphine,#ff00ff,#ffde00,This pill will give the user the ability to innovate and generate new ideas and solutions.,May cause occasional side effect of obsessing over your crush and writing their name all over your notebook.
,8,Gullilible,#ffedd7,#ffedd7,This pill allows the user to control and manipulate the British royal family.,Inability to stop speaking in a posh accent.
,9,Gytushple,#ff00ff,#54e507,This pill gives the user the ability to lead horses to water with their puzzle solving.,Incorrect use of the word 'delectable'.
,10,Chumploon,#ff00ff,#ff00ff,This pill will make the user act in a cheap but endearing fashion when with friends.,"Attempting to end an argument by saying: ""A man with a moustache may never kiss a woman in public."""
,11,Grubby,#54e507,#ffde00,This pill will give the user the ability to make others act in an amusingly vain fashion for a week.,"Socially detrimental obsession with finding kindling, even when not camping."
,12,Clappit,#54e507,#903ef9,This pill will make the user have a heart-warming hallucinatory experience when visiting the last resting place of Walt Disney.,Uncontrollable bouts of singing Disney songs at unexpected moments.
,13,Gravowix,#ff00ff,#903ef9,This pill allows the user to control and manipulate flames around a campfire.,Constant craving for s'mores.
,14,Camprefumenn,#ffedd7,#ff00ff,This pill will make the user able to fluctuate their height to match their mood.,Interesting hallucinatory experiences with a millipede.
,15,Kumquartz,#ffde00,#ff00ff,This pill will give the user the ability to motivate those who haven't done any exercise in over 10 years to sign up and train for the Reading half marathon.,Inexplicable need to design a line of clothing for household appliances.
,16,Ananothathing,#ffde00,#903ef9,This pill will give the user the ability to transform into a tirelessly grumpy robot whenever they feel like moaning about something.,Greasy palms and inability to hear fire alarms.
,17,Tropicanza,#903ef9,#ff00ff,This pill will give the user the ability to empathize with sunburnt tourists.,Uncontrollable urge to wear Hawaiian shirts.
,18,Hunobby,#ffde00,#903ef9,This pill will give the user an unflinching poker face when haggling.,Inability to stop quoting William Butler Yeats.
,19,Cometh,#903ef9,#903ef9,This pill will give the user the stench of a sandpiper.,Constantly curling and uncurling hair.
,20,Vimblay,#ffedd7,#ffde00,This pill will give the user the strength of a hart.,Itchy index fingers.
,21,Plivute,#ffedd7,#54e507,This pill makes the user skilled in crafting satirical humour that pokes fun at revered institutions.,Pathological smugness.
,22,Veltor,#54e507,#ffde00,This pill allows the user to telepathically communicate with others.,Intermittent transformation into a grey reef shark.
,23,Cisy,#ffde00,#ff00ff,"This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""hill"".","Irresistible urge to climb any hill or slope, even during work hours."
,24,Whair,#903ef9,#903ef9,This pill will make the user act in a futile fashion when playing Monopoly.,Inability to stop quoting Cleopatra.
,25,Jumber,#903ef9,#903ef9,This pill will leave the user staggered by clouds that look even remotely like a recognisable object.,Frequent daydreaming and distraction.
,26,Dragonblot,#ffedd7,#0bc4ff,This pill will allow the user to cure minor ailments by singing Bee Gees songs to people.,Unexplained need to write and perform a one-person play about the history of the sandwich.
,27,Novax,#ffde00,#903ef9,This pill gives the user the power to flabbergast dentists with their pancake tossing.,Instant dislike for anyone holding a bread stick.
,28,Imbargo,#ffde00,#54e507,This pill gives the user the power to turn any situation into a party.,Constant need to laugh following habitual use.
,29,Aetheriaph,#0bc4ff,#54e507,"This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""bed"".",Fear of fairground rides.
,30,Surogou,#0bc4ff,#54e507,This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Marie Antoinette.,Experiencing revolutionary hallucinations at the birthplace of Marie Antoinette.
,31,Uzgator,#ffde00,#ffde00,"This pill will give the user the power turn fear, doubt and uncertainty about the crypto market on and off like a switch.",Development of a split personality with one side being extremely optimistic and the other being extremely pessimistic about the crypto market.
,32,Slation,#903ef9,#ff00ff,This pill gives the user the ability to move parents with their bubble gum blowing.,Incorrect use of the word 'hallucination'.
,33,Cruts,#fc8300,#0bc4ff,This pill will leave the user utterly astounded by people with brown hair but ginger beards.,Inability to focus on conversations with such individuals.
,34,Xtraveganza,#ffedd7,#ffde00,This pill will make the user hear the animal cries of the meat they and others are eating.,Some users report voices emanating from inanimate objects on occasions.
,35,Trortamoid,#ff00ff,#ff00ff,This pill will make the user have the experience of witnessing the signing of the Treaty of Tordesillas with Christopher Columbus.,Pathological hatred of fried pork chops .
,36,Wobbler,#ffedd7,#54e507,This pill will make the user be confusingly aloof on their birthday.,Intermittent morphing into a black mamba.
,37,Hysleria,#54e507,#ff00ff,This pill gives the user the ability to shock butchers with their extreme knitting.,Atypical curiosity in amorphous solids.
,38,Tegmafy,#54e507,#54e507,This pill will give the user the nerve to hodl for longer than all their peers and reap the subsequent rewards.,"Extreme patience, even in situations where urgency is required."
,39,Jibbant,#ff00ff,#54e507,This pill allows the user to breathe underwater and swim at superhuman speeds.,Posting all one's belongings to random addresses in Milton Keynes.
,40,Mumplerd,#54e507,#54e507,This pill will make the user act out scenes from Hill Street Blues whenever they see an image of a woodpecker.,Insatiable need for speaking in tongues for several days following use.
,41,Wottom,#ff00ff,#ffedd7,"This pill will give the user the ability to summon a swarm of friendly, high-fiving squirrels that follow them around, cheering them on","Inability to turn head to the side after hearing the word ""straight""."
,42,Kublionese,#54e507,#54e507,Experience virtual warmth.,Fear of pretty flowers.
,43,Sharpeee,#ff00ff,#ffde00,This pill will make the user act in a slightly stupid fashion when others are being deadly serious.,Intense fear of photo montages.
,44,Broguerycin,#ffedd7,#ffde00,This pill will make the user be able to be the character in their favourite film for one screening.,Accidentally becoming an often cited expert in engineering.
,45,Soybez,#ffedd7,#ffde00,This pill will make the user an expert in geophylonomy.,Intense fear of penalty shootouts.
,46,Lacirificane,#903ef9,#fc8300,This pill will give the user the power to make anyone they touch speak in gibberish for 10 minutes without them realising they're doing it.,Excessive use of French when with an newspaper editor.
,47,Simmonith Hernandedrinker,#903ef9,#ffedd7,This pill will gain the user $3k whenever they see an image of a badger.,Enchanting hallucinatory experiences with a black-headed python.
,48,Mythia,#ffde00,#ff00ff,This pill allows the user to enter a deep state of trance and access their subconscious mind.,May cause the user to experience vivid and disturbing nightmares.
,49,Myeriatha,#0bc4ff,#903ef9,This pill will give the user the strength to forgive any teacher who treated them unfairly.,"An irresistible urge to start a fan club for mundane objects, such as staplers or paper clips."
,50,Twerfin,#ff00ff,#ffedd7,This pill grants the user the power to create comedic skits and performances that leave audiences in stitches.,Thinking your parents have been replaced by aliens.
,51,Smoakskream,#1206ff,#ff00ff,This pill will transform the user into a superhero hell-bent on convincing high school kids the world over to stop vaping.,Hoarse throat from shouting 24/7.
,52,Dribb,#903ef9,#ff00ff,"This pill will give the user the power to alleviate others' stress with a single, understanding nod.", Involuntary head-nodding.
,53,Mivlarox,#ffde00,#ff00ff,This pill will give the user the strength of a pintail.,"Instant loss of all interest when someone uses the phrase ""frictionless""."
,54,Fofzib,#ffedd7,#ff00ff,This pill will make the user be able to teleport to forbidden locations.,Heart palpitations and an inability to find matching socks.
,55,Griefsponge,#1206ff,#54e507,This pill will give the user the power absorb other people's hangovers for them.,"Fatigue, weakness, thirst, headache, muscle aches, nausea, stomach pain, vertigo, sensitivity to light and sound, anxiety, irritability and a lot of sweating."
,56,Uperonity,#ffde00,#ffedd7,This pill gives the user the ability to turn water into ice by giving it a stern talking to.,Dry mouth and occasional stuttering.
,57,Berrie,#ff00ff,#ffedd7,This pill takes users on a mystical marine quest.,Regularly mistaking one's romantic partner for a bowl of anchovies.
,58,Qrofth,#ff00ff,#ff00ff,This pill allows the user to strike incredible deals with anybody they are haggling with. ,"Immediate loss of balance after hearing the word ""amend""."
,59,Harbor,#fc8300,#ff00ff,Unwavering willpower to achieve goals,Fear of being alone in the library.
,60,Falseist,#ff00ff,#ffde00,This pill will make the user able to regenerate their limbs like a starfish.,Intense fear of Philips products.
,61,Plinar,#ffde00,#ff00ff,This pill will make the user act out scenes from Law and Order when they see a person with a hawk.,Passing transmogrification into a teleporting snowflake.
,62,Muttiel,#ffde00,#ff00ff,This pill will allow the user to assist someone who has had an embarrassing wardrobe malfunction in public.,Insatiable interest in side dishes for several days following use.
