EffectGroup,Keywords,GameMechanic,VisualEffect,SideEffectMechanic
BERSERK_RAGE,"power, strong, battle, fight, war, kill, destroy, win",Player Damage x2,Red Screen Tint,"Drain Health 1/sec"
SPEED_FREAK,"fast, run, race, athlete, marathon, quick, speed",Player Speed x1.5,Motion Blur Trail,"Traction Control Loss (Sliding)"
TANK_MODE,"resist, hard, immune, tough, mountain, wall",Damage Reduction 50%,Metallic Skin Shader,"Speed x0.7"
GHOST_SIGHT,"see, vision, aura, ghost, spirit, soul, dead",See Invisible Enemies/Loot,Inverted Colors,"Spawns Harmless Hallucinations"
SOCIAL_BUTTERFLY,"friend, charm, talk, hug, love, empathy, crowd",Enemies in radius stop attacking,Pink Heart Particles,"Attracts all nearby enemies (Aggro)"
CONFUSION,"perplex, puzzle, lost, confuse, dizzy, spin",Controls Reversed,Screen Shake,"Randomly drops equipped item"
MIDAS_TOUCH,"gold, money, rich, buy, shop, cheap, win",Double Cred Drops,Gold Sparkles,"Movement speed -20% (Heavy pockets)"
NATURE_WALK,"plant, flower, grow, tree, sun, rain, nature",Heal 2HP/sec,Flower Trail,"Weapon Jamming chance 20%"
TECH_WIZ,"robot, computer, hack, code, digital, glitch",Ability Cooldowns -50%,Matrix Code Overlay,"Screen Pixelation"
FLIGHT_RISK,"fly, float, height, air, bird, jump, sky",Gravity x0.5 (Moon Jump),Floating Bubble,"Take double damage from projectiles"
AUDITORY_OVERLOAD,"hear, sound, listen, noise, music, sing",Detect enemies through walls (Sonar),Pulse Wave Effect,"Mutes game audio / plays loud ringing"
STEALTH_MODE,"hide, sneak, invisible, quiet, secret",Enemy Detection Range -50%,Translucent Player,"Cannot Attack"
WILD_MAGIC,"magic, spell, wizard, strange, odd, random",Random Teleport on Hit,Rainbow Sparkles,"Polymorph (Change sprite to chicken/object)"
TOXIC_TOUCH,"poison, sick, vomit, green, smell, stench",Poison Aura (DPS to nearby),Green Fumes,"Player Health Drain 1/sec"
TIME_WARP,"time, slow, fast, future, past, wait, stop",Global Time Slow (0.5x),Sepia Filter,"Player Attack Speed x0.5"
GLUTTONY,"eat, food, hungry, consume, bite, taste",Consume Items for HP,Drool Particles,"Hitbox Size x1.5 (Fat)"
LUCKY_DIP,"luck, chance, maybe, gamble, bet",Crit Chance +50%,Dice Roll Effect,"Randomly lose 10% Gold"
PYRO,"fire, burn, hot, flame, heat, light",Add Fire Dmg to attacks,Flame Aura,"Take damage in water/rain"
FROST_BITE,"cold, freeze, ice, chill, snow, winter",Freeze enemies on hit,Blue Tint,"Movement Speed x0.8"
MAGNETISM,"attract, pull, push, metal, force",Loot Magnet Range x3,Electric Arcs,"Repels Projectiles (but also friendly ones)"
