Expression,Total Count,Group Size (Rarity),Group Name,Color (Hex),Color (RGB)
X(,527,,Compassion,#9900ff,"RGB(153, 0, 255)"
X),523,,Joy,#ff00ff,"RGB(255, 0, 255)"
X],510,,Disorder,#38761d,"RGB(56, 118, 29)"
X{},420,,Transformation,#ff9900,"RGB(255, 153, 0)"
XO,401,,Bewilderment,#cb97ff,"RGB(203, 151, 255)"
XI,257,,Deadpan,#ffd966,"RGB(255, 217, 102)"
X\,137,,Willpower,#ffff00,"RGB(255, 255, 0)"
X{.,119,,Heroic,#0000ff,"RGB(0, 0, 255)"
X*,79,,Academic,#741b47,"RGB(116, 27, 71)"
XV,72,,Communicative,#00ffff,"RGB(0, 255, 255)"
XQ,64,,Quantum,#000000,"RGB(0, 0, 0)"
XD,53,,Comedy,#00ff00,"RGB(0, 255, 0)"
XU,49,,Elemental,#7f6000,"RGB(127, 96, 0)"
XP,32,,Irreverence,#ea9999,"RGB(234, 153, 153)"
XB,26,,Cryptoanarchy,#b4a7d6,"RGB(180, 167, 214)"
XJ,21,,Machiavelian,#999999,"RGB(153, 153, 153)"
XStacks,3,,,#ff0000,"RGB(255, 0, 0)"
XBitcoin,1,,,#d4b351,"RGB(212, 179, 81)"
