"Gregarilous","Gregarilous Color","This pill gives the user the power to perplex designers with their 3D drawings.","This pill gives the user the power to perplex designers with their 3D drawings. Color","Intense fear of collard greens.","Intense fear of collard greens. Color"
"Cannonides","Magenta","This pill will make the user see a bright, colourful aura around their coworkers whenever they hear the word ""civilian"".","Magenta","Tendency to incessantly discuss coworkers' hobbies, even when unsolicited.","Magenta"
"Nippyson","Lemon Yellow","This pill helps the user resist the temptation of online shopping.","Lemon Yellow","Tendency to join church choirs then never go.","Lemon Yellow"
"Beigieron","Forest Green","This pill will make the user feel cynical at friends’ houses.","Forest Green","Inflamed armpits.","Forest Green"
"Bleepitinax","Violet","This pill will give the user the ability to nurture talents in people that they didn't know they had.","Violet","Compulsion to create a synchronized dance routine for a group of complete strangers.","Violet"
"Roothlix","Gray","This pill will give the user the ability to ignore their natural empathy to get ahead in society.","Gray","Becoming emotionally detached, leading to difficulty forming genuine connections.","Gray"
"Solariaphine","Amber","This pill will give the user the ability to innovate and generate new ideas and solutions.","Amber","May cause occasional side effect of obsessing over your crush and writing their name all over your notebook.","Amber"
"Gullilible","Amber","This pill allows the user to control and manipulate the British royal family.","Amber","Inability to stop speaking in a posh accent.","Amber"
"Gytushple","Lilac","This pill gives the user the ability to lead horses to water with their puzzle solving.","Lilac","Incorrect use of the word 'delectable'.","Lilac"
"Chumploon","Pastel Yellow","This pill will make the user act in a cheap but endearing fashion when with friends.","Pastel Yellow","Attempting to end an argument by saying: ""A man with a moustache may never kiss a woman in public."".","Pastel Yellow"
"Grubby","Pastel Yellow","This pill will give the user the ability to make others act in an amusingly vain fashion for a week.","Pastel Yellow","Socially detrimental obsession with finding kindling, even when not camping.","Pastel Yellow"
"Clappit","Violet","This pill will make the user have a heart-warming hallucinatory experience when visiting the last resting place of Walt Disney.","Violet","Uncontrollable bouts of singing Disney songs at unexpected moments.","Violet"
"Gravowix","Brown Ochre","This pill allows the user to control and manipulate flames around a campfire.","Brown Ochre","Constant craving for s'mores.","Brown Ochre"
"Camprefumenn","Amber","This pill will make the user able to fluctuate their height to match their mood.","Amber","Interesting hallucinatory experiences with a millipede.","Amber"
"Kumquartz","Violet","This pill will give the user the ability to motivate those who haven't done any exercise in over 10 years to sign up and train for the Reading half marathon.","Violet","Inexplicable need to design a line of clothing for household appliances.","Violet"
"Ananothathing","Amber","This pill will give the user the ability to transform into a tirelessly grumpy robot whenever they feel like moaning about something.","Amber","Greasy palms and inability to hear fire alarms.","Amber"
"Tropicanza","Violet","This pill will give the user the ability to empathize with sunburnt tourists.","Violet","Uncontrollable urge to wear Hawaiian shirts.","Violet"
"Hunobby","Pastel Yellow","This pill will give the user an unflinching poker face when haggling.","Pastel Yellow","Inability to stop quoting William Butler Yeats.","Pastel Yellow"
"Cometh","Forest Green","This pill will give the user the stench of a sandpiper.","Forest Green","Constantly curling and uncurling hair.","Forest Green"
"Vimblat","Bright Blue","This pill will give the user the strength of a hart.","Bright Blue","Itchy tarsal glands.","Bright Blue"
"Plivute","Rose Pink","This pill makes the user skilled in crafting satirical humour that pokes fun at revered institutions.","Rose Pink","Pathological smugness.","Rose Pink"
"Veltor","Cyan","This pill allows the user to telepathically communicate with others.","Cyan","Intermittent transformation into a grey reef shark.","Cyan"
"Cisy","Magenta","This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""hill"".","Magenta","Irresistible urge to climb any hill or slope, even during work hours.","Magenta"
"Whair","Pastel Yellow","This pill will make the user act in a futile fashion when playing Monopoly.","Pastel Yellow","Inability to stop quoting Cleopatra.","Pastel Yellow"
"Jumber","Lilac","This pill will leave the user staggered by clouds that look even remotely like a recognisable object.","Lilac","Frequent daydreaming and distraction.","Lilac"
"Dragonblot","Violet","This pill will allow the user to cure minor ailments by singing Bee Gees songs to people.","Violet","Unexplained need to write and perform a one-person play about the history of the sandwich.","Violet"
"Novax","Lilac","This pill gives the user the power to flabbergast dentists with their pancake tossing.","Lilac","Instant dislike for anyone holding a bread stick.","Lilac"
"Imbargo","Magenta","This pill gives the user the power to turn any situation into a party.","Magenta","Constant need to laugh following habitual use.","Magenta"
"Aetheriaph","Magenta","This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""bed"".","Magenta","Fear of fairground rides.","Magenta"
"Surogou","Forest Green","This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Marie Antoinette.","Forest Green","Experiencing revolutionary hallucinations at the birthplace of Marie Antoinette.","Forest Green"
"Uzgator","Lavender","This pill will give the user the power turn fear, doubt and uncertainty about the crypto market on and off like a switch.","Lavender","Development of a split personality with one side being extremely optimistic and the other being extremely pessimistic about the crypto market.","Lavender"
"Slation","Lilac","This pill gives the user the ability to move parents with their bubble gum blowing.","Lilac","Incorrect use of the word 'hallucination'.","Lilac"
"Cruts","Lilac","This pill will leave the user utterly astounded by people with brown hair but ginger beards.","Lilac","Inability to focus on conversations with such individuals.","Lilac"
"Xtraveganza","Cyan","This pill will make the user hear the animal cries of the meat they and others are eating.","Cyan","Some users report voices emanating from inanimate objects on occasions.","Cyan"
"Trortamoid","Magenta","This pill will make the user have the experience of witnessing the signing of the Treaty of Tordesillas with Christopher Columbus.","Magenta","Pathological hatred of fried pork chops .","Magenta"
"Wobbler","Lilac","This pill will make the user be confusingly aloof on their birthday.","Lilac","Intermittent morphing into a black mamba.","Lilac"
"Hysleria","Lilac","This pill gives the user the ability to shock butchers with their extreme knitting.","Lilac","Atypical curiosity in amorphous solids.","Lilac"
"Tegmafy","Lavender","This pill will give the user the nerve to hodl for longer than all their peers and reap the subsequent rewards.","Lavender","Extreme patience, even in situations where urgency is required.","Lavender"
"Jibbant","Bright Blue","This pill allows the user to breathe underwater and swim at superhuman speeds.","Bright Blue","Posting all one's belongings to random addresses in Milton Keynes.","Bright Blue"
"Mumplerd","Magenta","This pill will make the user act out scenes from Hill Street Blues whenever they see an image of a woodpecker.","Magenta","Insatiable need for speaking in tongues for several days following use.","Magenta"
"Wottom","Pastel Yellow","This pill will give the user the ability to summon a swarm of friendly, high-fiving squirrels that follow them around, cheering them on.","Pastel Yellow","Inability to turn head to the side after hearing the word ""straight"".","Pastel Yellow"
"Kublionese","Violet","Experience virtual warmth.","Violet","Fear of pretty flowers.","Violet"
"Sharpeee","Pastel Yellow","This pill will make the user act in a slightly stupid fashion when others are being deadly serious.","Pastel Yellow","Intense fear of photo montages.","Pastel Yellow"
"Broguerycin","Amber","This pill will make the user be able to be the character in their favourite film for one screening.","Amber","Accidentally becoming an often cited expert in engineering.","Amber"
"Soybez","Wine Red","This pill will make the user an expert in geophylonomy.","Wine Red","Intense fear of penalty shootouts.","Wine Red"
"Lacirificane","Pastel Yellow","This pill will give the user the power to make anyone they touch speak in gibberish for 10 minutes without them realising they're doing it.","Pastel Yellow","Excessive use of French when with an newspaper editor.","Pastel Yellow"
