id,name,shape,base,extras,outline,hex1,hex2,expression,animation,score,effect,sideEffect.,,,,,,,,,,,,
1,Gregarilous,Capsule,Yellow,None,Purple,#ff00ff,#903ef9,XO,None,36.51%,This pill gives the user the power to perplex designers with their 3D drawings.,Intense fear of collared greens.,,,,,,,,,,,None,99.01%
2,Cannonides,Star,Green,None,Peach,#fc8300,#fc8300,X),None,13.37%,"This pill will make the user see a bright, colourful aura around their coworkers whenever they hear the word ""civilian"".","Incessant conversation about coworkers' hobbies, even when unsolicited.",,,,,,,,,,,Gif,0.99%
3,Nippyson,Round,Pink,None,Purple,#54e507,#ff00ff,X\,None,5.33%,This pill helps the user resist the temptation of online shopping.,Tendency to join church choirs then never go.,,,,,,,,,,,,
4,Beigieron,Star,Peach,None,Green,#54e507,#fc8300,X],None,13.37%,This pill will make the user feel cynical at friends’ houses.,Inflamed armpits.,,,,,,,,,,,,
5,Bleepitinax,Diamond,Green + Purple,None,Purple,#ffedd7,#54e507,X(,None,7.24%,This pill will give the user the ability to nurture talents in people that they didn't know they had.,Compulsion to create a synchronized dance routine for a group of complete strangers.,,,,,,,,,,,,
6,Riskabi,Round,Pink,None,Yellow,#ffedd7,#ffedd7,XJ,None,5.33%,This pill will give the user the ability to always win battles of psychological warfare providing they have a lit cigar in their pocket.,"Constantly carrying a lit cigar, resulting in fire hazards and respiratory issues.",,,,,,,,,,,,
7,Solariaphine,Triangle,Purple,None,Yellow,#ff00ff,#ffde00,X{},None,3.98%,This pill will give the user the ability to innovate and generate new ideas and solutions.,May cause occasional side effect of obsessing over your crush and writing their name all over your notebook.,,,,,,,,,,,,
8,Gullilible,Round,Yellow,None,Yellow,#ffedd7,#ffedd7,X{},None,5.33%,This pill allows the user to control and manipulate the British royal family.,Inability to stop speaking in a posh accent.,,,,,,,,,,,,
9,Gytushple,Round,Red,None,Purple,#ff00ff,#54e507,XO,None,5.33%,This pill gives the user the ability to lead horses to water with their puzzle solving.,Incorrect use of the word 'delectable'.,,,,,,,,,,,,
10,Chumploon,Triangle,Red,None,Peach,#ff00ff,#ff00ff,XI,None,3.98%,This pill will make the user act in a cheap but endearing fashion when with friends.,"Attempting to end an argument by saying: ""A man with a moustache may never kiss a woman in public.""",,,,,,,,,,,,
11,Grubby,Capsule,Orange,None,Pink,#54e507,#ffde00,XI,None,36.51%,This pill will give the user the ability to make others act in an amusingly vain fashion for a week.,"Socially detrimental obsession with finding kindling, even when not camping.",,,,,,,,,,,,
12,Clappit,Capsule,Rainbow 1,None,Green,#54e507,#903ef9,X(,None,36.51%,This pill will make the user have a heart-warming hallucinatory experience when visiting the last resting place of Walt Disney.,Uncontrollable bouts of singing Disney songs at unexpected moments.,,,,,,,,,,,,
13,Gravowix,Star,Red + Blue,None,Orange,#ff00ff,#903ef9,XU,None,13.37%,This pill allows the user to control and manipulate flames around a campfire.,Constant craving for s'mores.,,,,,,,,,,,,
14,Camprefumenn,Capsule,Red,None,Yellow,#ffedd7,#ff00ff,X{},None,36.51%,This pill will make the user able to fluctuate their height to match their mood.,Interesting hallucinatory experiences with a millipede.,,,,,,,,,,,,
15,Kumquartz,Rectangle,Green + Blue,None,Orange,#ffde00,#ff00ff,X(,None,2.95%,This pill will give the user the ability to motivate those who haven't done any exercise in over 10 years to sign up and train for the Reading half marathon.,Inexplicable need to design a line of clothing for household appliances.,,,,,,,,,,,,
16,Ananothathing,Pentagon X,Yellow X,Purple Burst X,Yellow X,##ffde00,##903ef9,X{} X,Yes,1.28%,This pill will give the user the ability to transform into a tirelessly grumpy robot whenever they feel like moaning about something.,Greasy palms and inability to hear fire alarms.,,,,,,,,,,,,
17,Tropicanza,Round,Green + Purple,None,Yellow,#903ef9,#ff00ff,X(,None,5.33%,This pill will give the user the ability to empathize with sunburnt tourists.,Uncontrollable urge to wear Hawaiian shirts.,,,,,,,,,,,,
18,Hunobby,Capsule,Pink,None,Green,#ffde00,#903ef9,XI,None,36.51%,This pill will give the user an unflinching poker face when haggling.,Inability to stop quoting William Butler Yeats.,,,,,,,,,,,,
19,Cometh,Diamond,Orange + Pink,None,Green,#903ef9,#903ef9,X],None,7.24%,This pill will give the user the stench of a sandpiper.,Constantly curling and uncurling hair.,,,,,,,,,,,,
20,Vimblay,Capsule,Purple,None,Pink,#ffedd7,#ffde00,X{.,None,36.51%,This pill will give the user the strength of a hart.,Itchy index fingers.,,,,,,,,,,,,
21,Plivute,Star,Orange,None,Yellow,#ffedd7,#54e507,XP,None,13.37%,This pill makes the user skilled in crafting satirical humour that pokes fun at revered institutions.,Pathological smugness.,,,,,,,,,,,,
22,Veltor,Star,Rainbow 1,None,Yellow,#54e507,#ffde00,XV,None,13.37%,This pill allows the user to telepathically communicate with others.,Intermittent transformation into a grey reef shark.,,,,,,,,,,,,
23,Cisy,Star,Purple,Gold Burst,Pink,#ffde00,#ff00ff,X),None,13.37%,"This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""hill"".","Irresistible urge to climb any hill or slope, even during work hours.",,,,,,,,,,,,
24,Whair,Pentagon,Peach,None,Pink,#903ef9,#903ef9,XI,None,11.28%,This pill will make the user act in a futile fashion when playing Monopoly.,Inability to stop quoting Cleopatra.,,,,,,,,,,,,
25,Jumber,Round,Green + Purple,None,Blue,#903ef9,#903ef9,XO,None,5.33%,This pill will leave the user staggered by clouds that look even remotely like a recognisable object.,Frequent daydreaming and distraction.,,,,,,,,,,,,
26,Dragonblot,Oval,Yellow + Blue,None,Yellow,#ffedd7,#0bc4ff,X(,None,9.91%,This pill will allow the user to cure minor ailments by singing Bee Gees songs to people.,Unexplained need to write and perform a one-person play about the history of the sandwich.,,,,,,,,,,,,
27,Novax,Capsule,Peach,None,Pink,#ffde00,#903ef9,XO,None,36.51%,This pill gives the user the power to flabbergast dentists with their pancake tossing.,Instant dislike for anyone holding a bread stick.,,,,,,,,,,,,
28,Imbargo,Diamond,Yellow + Blue,None,Green,#ffde00,#54e507,X),None,7.24%,This pill gives the user the power to turn any situation into a party.,Constant need to laugh following habitual use.,,,,,,,,,,,,
29,Aetheriaph,Pentagon,Red + Blue,None,Pink,#0bc4ff,#54e507,X),None,11.28%,"This pill will make the user see a bright, colourful aura around their boss whenever they hear the word ""bed"".",Fear of fairground rides.,,,,,,,,,,,,
30,Surogou,Round,Orange + Pink,None,Yellow,#0bc4ff,#54e507,X],None,5.33%,This pill will make the user have a terrifying but exhilarating hallucinatory experience when visiting the birthplace of Marie Antoinette.,Experiencing revolutionary hallucinations at the birthplace of Marie Antoinette.,,,,,,,,,,,,
31,Uzgator,Pentagon,Red,None,Yellow,#ffde00,#ffde00,XB,None,11.28%,"This pill will give the user the power turn fear, doubt and uncertainty about the crypto market on and off like a switch.",Development of a split personality with one side being extremely optimistic and the other being extremely pessimistic about the crypto market.,,,,,,,,,,,,
32,Slation,Capsule,Blue,None,Pink,#903ef9,#ff00ff,XO,None,36.51%,This pill gives the user the ability to move parents with their bubble gum blowing.,Incorrect use of the word 'hallucination'.,,,,,,,,,,,,
33,Cruts,Diamond,Red + Yellow,None,Purple,#fc8300,#0bc4ff,XO,None,7.24%,This pill will leave the user utterly astounded by people with brown hair but ginger beards.,Inability to focus on conversations with such individuals.,,,,,,,,,,,,
34,Xtraveganza,Star,Green,None,Orange,#ffedd7,#ffde00,XV,None,13.37%,This pill will make the user hear the animal cries of the meat they and others are eating.,Some users report voices emanating from inanimate objects on occasions.,,,,,,,,,,,,
35,Trortamoid,Capsule,Green,None,Peach,#ff00ff,#ff00ff,X),None,36.51%,This pill will make the user have the experience of witnessing the signing of the Treaty of Tordesillas with Christopher Columbus.,Pathological hatred of fried pork chops .,,,,,,,,,,,,
36,Wobbler,Capsule,Rainbow 1,None,Purple,#ffedd7,#54e507,XO,None,36.51%,This pill will make the user be confusingly aloof on their birthday.,Intermittent morphing into a black mamba.,,,,,,,,,,,,
37,Hysleria,Triangle,Peach,None,Pink,#54e507,#ff00ff,XO,None,3.98%,This pill gives the user the ability to shock butchers with their extreme knitting.,Atypical curiosity in amorphous solids.,,,,,,,,,,,,
38,Tegmafy,Round,Purple,None,Pink,#54e507,#54e507,XB,None,5.33%,This pill will give the user the nerve to hodl for longer than all their peers and reap the subsequent rewards.,"Extreme patience, even in situations where urgency is required.",,,,,,,,,,,,
39,Jibbant,Capsule,Red,None,Yellow,#ff00ff,#54e507,X{.,None,36.51%,This pill allows the user to breathe underwater and swim at superhuman speeds.,Posting all one's belongings to random addresses in Milton Keynes.,,,,,,,,,,,,
40,Mumplerd,Rectangle,Orange,None,Purple,#54e507,#54e507,X),None,2.95%,This pill will make the user act out scenes from Hill Street Blues whenever they see an image of a woodpecker.,Insatiable need for speaking in tongues for several days following use.,,,,,,,,,,,,
41,Wottom,Pentagon,Red + Blue,None,Green,#ff00ff,#ffedd7,XI,None,11.28%,"This pill will give the user the ability to summon a swarm of friendly, high-fiving squirrels that follow them around, cheering them on","Inability to turn head to the side after hearing the word ""straight"".",,,,,,,,,,,,
