Symbol,Expression,TotalEffects,HexColour,RarityTier,ColorName
X(,Compassion,527,#9900ff,Very Common,Violet
X),Joy,523,#ff00ff,Very Common,Magenta
X],Disorder,510,#38761d,Common,Forest Green
X{},Transformation,420,#ff9900,Uncommon,Amber
XO,Bewilderment,401,#cb97ff,Uncommon,Lavender
XI,Deadpan,257,#ffd966,Moderate,Pastel Yellow
X\,Willpower,137,#ffff00,Rare,Lemon Yellow
X{.,Heroic,119,#0000ff,Rare,Bright Blue
X*,Academic,79,#741b47,Very Rare,Wine Red
CV,Communicative,72,#00ffff,Very Rare,Cyan
XQ,Quantum,64,#000000,Extremely Rare,Black
XD,Comedy,53,#00ff00,Ultra Rare,Neon Green
XU,Elemental,49,#7f6000,Ultra Rare,Brown Ochre
XP,Irreverence,32,#ea9999,Mythic,Rose Pink
XB,Cryptoanarchy,26,#b4a7d6,Mythic,Lilac
XJ,Machiavelian,21,#999999,Legendary,Gray
Xstx,Stacks,3,#ff0000,Singular,#ead1dc
Xbtc,Bitcoin,1,#d4b351,Unique,#fff2cc
