EffectGroup,Keywords,GameMechanic,VisualEffect,SideEffectMechanic
BERSERK_RAGE,"power, strong, battle, fight, war, kill, destroy, win, violence, anger",Player Damage x2,Red Screen Tint,"Drain Health 1/sec"
SPEED_FREAK,"fast, run, race, athlete, marathon, quick, speed, sprint, rush",Player Speed x1.5,Motion Blur Trail,"Traction Control Loss (Sliding)"
TANK_MODE,"resist, hard, immune, tough, mountain, wall, shield, protect",Damage Reduction 50%,Metallic Skin Shader,"Speed x0.7"
GHOST_SIGHT,"see, vision, aura, ghost, spirit, soul, dead, invisible",See Invisible Enemies/Loot,Inverted Colors,"Spawns Harmless Hallucinations"
SOCIAL_BUTTERFLY,"friend, charm, talk, hug, love, empathy, crowd, social, party",Enemies in radius stop attacking,Pink Heart Particles,"Attracts all nearby enemies (Aggro)"
CONFUSION,"perplex, puzzle, lost, confuse, dizzy, spin, riddle",Controls Reversed,Screen Shake,"Randomly drops equipped item"
MIDAS_TOUCH,"gold, money, rich, buy, shop, cheap, win, profit, dollar, cash",Double Cred Drops,Gold Sparkles,"Movement speed -20% (Heavy pockets)"
NATURE_WALK,"plant, flower, grow, tree, sun, rain, nature, garden",Heal 2HP/sec,Flower Trail,"Weapon Jamming chance 20%"
TECH_WIZ,"robot, computer, hack, code, digital, glitch, cyber, tech",Ability Cooldowns -50%,Matrix Code Overlay,"Screen Pixelation"
FLIGHT_RISK,"fly, float, height, air, bird, jump, sky, levitate",Gravity x0.5 (Moon Jump),Floating Bubble,"Take double damage from projectiles"
AUDITORY_OVERLOAD,"hear, sound, listen, noise, music, sing, voice, ear",Detect enemies through walls (Sonar),Pulse Wave Effect,"Mutes game audio / plays loud ringing"
STEALTH_MODE,"hide, sneak, invisible, quiet, secret, shadow, camoflauge",Enemy Detection Range -50%,Translucent Player,"Cannot Attack"
WILD_MAGIC,"magic, spell, wizard, strange, odd, random, miracle, wish",Random Teleport on Hit,Rainbow Sparkles,"Polymorph (Change sprite to chicken/object)"
TOXIC_TOUCH,"poison, sick, vomit, green, smell, stench, toxic, waste",Poison Aura (DPS to nearby),Green Fumes,"Player Health Drain 1/sec"
TIME_WARP,"time, slow, fast, future, past, wait, stop, clock",Global Time Slow (0.5x),Sepia Filter,"Player Attack Speed x0.5"
GLUTTONY,"eat, food, hungry, consume, bite, taste, mouth, feast",Consume Items for HP,Drool Particles,"Hitbox Size x1.5 (Fat)"
LUCKY_DIP,"luck, chance, maybe, gamble, bet, lottery, win",Crit Chance +50%,Dice Roll Effect,"Randomly lose 10% Gold"
PYRO,"fire, burn, hot, flame, heat, light, inferno, ash",Add Fire Dmg to attacks,Flame Aura,"Take damage in water/rain"
FROST_BITE,"cold, freeze, ice, chill, snow, winter, cool",Freeze enemies on hit,Blue Tint,"Movement Speed x0.8"
MAGNETISM,"attract, pull, push, metal, force, magnet",Loot Magnet Range x3,Electric Arcs,"Repels Projectiles (but also friendly ones)"
PSYCHIC_WAVE,"mind, thought, telepathy, perplex, confuse, aura, influence, control, brain, psychic",Confuse Enemies (Stop Attacking),Purple Ripple Effect,"Screen Distortion Wavy"
SHAPE_SHIFTER,"transform, morph, shape, turn into, become, height, shark, robot, animal, change",Polymorph (Random Stat Shuffle),Morph Animation,"Unable to use Weapons for 10s"
TRIVIA_GOD,"expert, knowledge, know, genius, smart, quote, speak, language, skill, learn",XP Gain x2,Lightbulb Icon Overhead,"Cannot Crit"
SUMMONER,"summon, swarm, army, follow, minion, squirrel, badger, creature, beast",Spawn Decoy Ally,Summon Circle Effect,"Player Defense -20%"
AQUATIC,"swim, water, breath, dive, sea, ocean, fish, shark, wet",Speed Boost + Blue Tint,Bubbles,"Fire Damage taken x2"
UNSTOPPABLE,"resist, poker face, calm, ignore, endure, steady, stoic",Immunity to Knockback/Stun,Shield Overlay,"Cannot Run (Walk only)"
